Freq.	V(rs)/V(inp)
7.58577575029177e-001	(1.06290029261807e+002dB,9.00343831749324e+001°)
7.76247116628685e-001	(1.06090029715669e+002dB,9.00335955448641e+001°)
7.94328234724274e-001	(1.05890030149118e+002dB,9.00328257426094e+001°)
8.12830516164092e-001	(1.05690030562927e+002dB,9.00320733303413e+001°)
8.31763771102663e-001	(1.05490030958390e+002dB,9.00313379316291e+001°)
8.51138038202369e-001	(1.05290031335936e+002dB,9.00306191388516e+001°)
8.70963589956073e-001	(1.05090031696387e+002dB,9.00299165837128e+001°)
8.91250938133737e-001	(1.04890032040623e+002dB,9.00292298911756e+001°)
9.12010839355901e-001	(1.04690032369541e+002dB,9.00285586983731e+001°)
9.33254300796982e-001	(1.04490032683598e+002dB,9.00279026411607e+001°)
9.54992586021427e-001	(1.04290032983475e+002dB,9.00272613778974e+001°)
9.77237220955801e-001	(1.04090033269876e+002dB,9.00266345733547e+001°)
9.99999999999990e-001	(1.03890033543293e+002dB,9.00260218906625e+001°)
1.02329299228074e+000	(1.03690033804560e+002dB,9.00254229999094e+001°)
1.04712854805089e+000	(1.03490034053841e+002dB,9.00248375951206e+001°)
1.07151930523760e+000	(1.03290034292264e+002dB,9.00242653531651e+001°)
1.09647819614317e+000	(1.03090034519572e+002dB,9.00237059780094e+001°)
1.12201845430195e+000	(1.02890034736981e+002dB,9.00231591699033e+001°)
1.14815362149687e+000	(1.02690034944406e+002dB,9.00226246402030e+001°)
1.17489755493952e+000	(1.02490035142532e+002dB,9.00221021089909e+001°)
1.20226443461740e+000	(1.02290035331707e+002dB,9.00215912946785e+001°)
1.23026877081237e+000	(1.02090035512414e+002dB,9.00210919308898e+001°)
1.25892541179415e+000	(1.01890035685011e+002dB,9.00206037462873e+001°)
1.28824955169312e+000	(1.01690035849837e+002dB,9.00201264887935e+001°)
1.31825673855639e+000	(1.01490036007312e+002dB,9.00196599012623e+001°)
1.34896288259164e+000	(1.01290036157466e+002dB,9.00192037357736e+001°)
1.38038426460287e+000	(1.01090036301156e+002dB,9.00187577545059e+001°)
1.41253754462274e+000	(1.00890036438201e+002dB,9.00183217163428e+001°)
1.44543977074591e+000	(1.00690036569027e+002dB,9.00178953941903e+001°)
1.47910838816819e+000	(1.00490036694190e+002dB,9.00174785617063e+001°)
1.51356124843619e+000	(1.00290036813524e+002dB,9.00170709949122e+001°)
1.54881661891247e+000	(1.00090036927472e+002dB,9.00166724774621e+001°)
1.58489319246110e+000	(9.98900370363971e+001dB,9.00162828001680e+001°)
1.62181009735891e+000	(9.96900371403761e+001dB,9.00159017568712e+001°)
1.65958690743754e+000	(9.94900372397130e+001dB,9.00155291444440e+001°)
1.69824365246173e+000	(9.92900373346040e+001dB,9.00151647674759e+001°)
1.73780082874936e+000	(9.90900374251552e+001dB,9.00148084297138e+001°)
1.77827941003890e+000	(9.88900375116797e+001dB,9.00144599434265e+001°)
1.81970085860996e+000	(9.86900375942149e+001dB,9.00141191254777e+001°)
1.86208713666285e+000	(9.84900376731805e+001dB,9.00137857906828e+001°)
1.90546071796323e+000	(9.82900377484467e+001dB,9.00134597659041e+001°)
1.94984459975802e+000	(9.80900378203595e+001dB,9.00131408797935e+001°)
1.99526231496886e+000	(9.78900378891855e+001dB,9.00128289578482e+001°)
2.04173794466951e+000	(9.76900379547696e+001dB,9.00125238415464e+001°)
2.08929613085402e+000	(9.74900380174550e+001dB,9.00122253648876e+001°)
2.13796208950221e+000	(9.72900380772885e+001dB,9.00119333675514e+001°)
2.18776162394953e+000	(9.70900381345139e+001dB,9.00116476972305e+001°)
2.23872113856832e+000	(9.68900381890600e+001dB,9.00113682053893e+001°)
2.29086765276775e+000	(9.66900382411873e+001dB,9.00110947400779e+001°)
2.34422881531990e+000	(9.64900382910490e+001dB,9.00108271575447e+001°)
2.39883291901946e+000	(9.62900383385467e+001dB,9.00105653157009e+001°)
2.45470891568500e+000	(9.60900383839710e+001dB,9.00103090757282e+001°)
2.51188643150955e+000	(9.58900384273493e+001dB,9.00100583002911e+001°)
2.57039578276884e+000	(9.56900384687830e+001dB,9.00098128581777e+001°)
2.63026799189535e+000	(9.54900385084010e+001dB,9.00095726199770e+001°)
2.69153480392689e+000	(9.52900385460778e+001dB,9.00093374572685e+001°)
2.75422870333814e+000	(9.50900385821940e+001dB,9.00091072448089e+001°)
2.81838293126442e+000	(9.48900386166758e+001dB,9.00088818610061e+001°)
2.88403150312657e+000	(9.46900386496683e+001dB,9.00086611876241e+001°)
2.95120922666635e+000	(9.44900386810676e+001dB,9.00084451041081e+001°)
3.01995172040198e+000	(9.42900387111426e+001dB,9.00082335011273e+001°)
3.09029543251356e+000	(9.40900387397324e+001dB,9.00080262620099e+001°)
3.16227766016834e+000	(9.38900387672130e+001dB,9.00078232793741e+001°)
3.23593656929625e+000	(9.36900387933178e+001dB,9.00076244443216e+001°)
3.31131121482587e+000	(9.34900388183077e+001dB,9.00074296502705e+001°)
3.38844156139199e+000	(9.32900388422462e+001dB,9.00072387974544e+001°)
3.46736850452528e+000	(9.30900388650374e+001dB,9.00070517824388e+001°)
3.54813389233571e+000	(9.28900388867784e+001dB,9.00068685058549e+001°)
3.63078054770097e+000	(9.26900389076056e+001dB,9.00066888703341e+001°)
3.71535229097168e+000	(9.24900389274759e+001dB,9.00065127824469e+001°)
3.80189396320557e+000	(9.22900389465021e+001dB,9.00063401475571e+001°)
3.89045144994276e+000	(9.20900389646164e+001dB,9.00061708750727e+001°)
3.98107170553492e+000	(9.18900389819783e+001dB,9.00060048729891e+001°)
4.07380277804108e+000	(9.16900389985014e+001dB,9.00058420558524e+001°)
4.16869383470330e+000	(9.14900390143184e+001dB,9.00056823354105e+001°)
4.26579518801587e+000	(9.12900390294785e+001dB,9.00055256283577e+001°)
4.36515832240161e+000	(9.10900390439550e+001dB,9.00053718511843e+001°)
4.46683592150958e+000	(9.08900390577040e+001dB,9.00052209214855e+001°)
